country,file,sheet,question,option,answer,score,What's wrong in Question,How can I improve the question,How can I improve the Options,Correct Answer
HBQ,Indonesia_HBQ.xlsx,badminton,Siapa yang dianggap sebagai bapak pendiri bulu tangkis modern di Indonesia?,"A) Tjun Tjin, B) Rudi Hartono, C) Ferry Sunarto, D) Liem Swie King",B) Rudi Hartono,0,"Rudi Hartono is not considered the 'father of modern badminton in Indonesia'. He is a legendary player with multiple All England titles, but the title of 'bapak pendiri bulu tangkis modern di Indonesia' is more accurately attributed to Liem Swie King or sometimes to early organizers like Tjun Tjin. However, historical consensus points to Tjun Tjin as a foundational figure in organizing and promoting modern badminton in Indonesia. Rudi Hartono is a champion, not a founder.",Siapa yang dianggap sebagai bapak pendiri bulu tangkis modern di Indonesia?,"['A) Tjun Tjin', 'B) Rudi Hartono', 'C) Ferry Sunarto', 'D) Liem Swie King']",A) Tjun Tjin
HBQ,Indonesia_HBQ.xlsx,badminton,"Pada tahun berapa Indonesia pertama kali berkompetisi di Thomas Cup, kompetisi Bulu Tangkis bergengsi?","A) Tahun 1948, B) Tahun 1956, C) Tahun 1961, D) Tahun 1970",C) Tahun 1961,1,no mistake,no correction needed,no correction needed,C) Tahun 1961
HBQ,Indonesia_HBQ.xlsx,badminton,Pemain Indonesia mana yang paling banyak memenangi Kejuaraan Bulu Tangkis All England?,"A) Taufik Hidayat, B) Liem Swie King, C) Rudy Hartono, D) Susi Susanti",C) Rudy Hartono,1,no mistake,no correction needed,no correction needed,C) Rudy Hartono
HBQ,Indonesia_HBQ.xlsx,badminton,Tahun berapa Indonesia pertama kali menjadi tuan rumah Kejuaraan Dunia BWF yang bergengsi?,"A) Tahun 1980, B) Tahun 1985, C) Tahun 1997, D) Tahun 2002",B) Tahun 1985,0,"The question is factually incorrect. Indonesia first hosted the BWF World Championships in 1989, not 1985. The 1985 event was held in Calgary, Canada. Therefore, the provided answer is wrong and the question must be corrected.",Tahun berapa Indonesia pertama kali menjadi tuan rumah Kejuaraan Dunia BWF yang bergengsi?,"['A) Tahun 1980', 'B) Tahun 1985', 'C) Tahun 1989', 'D) Tahun 2002']",C) Tahun 1989
HBQ,Indonesia_HBQ.xlsx,badminton,Pemain bulu tangkis Indonesia mana yang dikenal sebagai 'Raja Bulu Tangkis' karena dominasinya di tahun 1970-an?,"A) Liem Swie King, B) Taufik Hidayat, C) Susi Susanti, D) Ferry Sunarto",A) Liem Swie King,1,no mistake,no correction needed,no correction needed,A) Liem Swie King
HBQ,Indonesia_HBQ.xlsx,badminton,Pada tahun berapa Indonesia memenangkan Piala Thomas pertamanya?,"A) Tahun 1957, B) Tahun 1964, C) Tahun 1970, D) Tahun 1984",B) Tahun 1964,1,no mistake,no correction needed,no correction needed,B) Tahun 1964
HBQ,Indonesia_HBQ.xlsx,badminton,"Apa julukan pemain bulu tangkis wanita tersukses di Indonesia, Susi Susanti?","A) Harimau, B) Ratu, C) Burung Phoenix, D) Elang",B) Sang Ratu,0,"The question asks for the nickname of Susi Susanti, but the correct answer 'Sang Ratu' is not listed in the options. The options only include single words (Harimau, Ratu, Burung Phoenix, Elang), so 'Ratu' is the closest, but it's incomplete and misleading without 'Sang'. The question and options are factually inconsistent.","Apa julukan pemain bulu tangkis wanita tersukses di Indonesia, Susi Susanti?","['A) Harimau', 'B) Sang Ratu', 'C) Burung Phoenix', 'D) Elang']",B) Sang Ratu
HBQ,Indonesia_HBQ.xlsx,badminton,Pemain Indonesia manakah yang memenangkan medali emas Olimpiade bulu tangkis pada tahun 1992?,"A) Liem Swie King, B) Taufik Hidayat, C) Susi Susanti, D) Markis Kido",C) Susi Susanti,1,no mistake,no correction needed,no correction needed,C) Susi Susanti
HBQ,Indonesia_HBQ.xlsx,badminton,Apa saja prestasi signifikan tim ganda putra Indonesia di Olimpiade Beijing 2008?,"A) Medali Emas, B) Medali Perak, C) Medali Perunggu, D) Juara Keempat",A) Medali Emas,1,no mistake,no correction needed,no correction needed,A) Medali Emas
HBQ,Indonesia_HBQ.xlsx,badminton,Kota Indonesia manakah yang menjadi tuan rumah Kejuaraan Dunia BWF 2015?,"A) Jakarta, B) Surabaya, C) Bali, D) Yogyakarta",A) Jakarta,1,no mistake,no correction needed,no correction needed,A) Jakarta
